Country,Indicator,Value
OECD - Total,Stakeholder engagement for developing regulations,2.1
Austria,Dwellings without basic facilities,0.8
Belgium,Dwellings without basic facilities,0.7
Canada,Dwellings without basic facilities,0.2
Czech Republic,Dwellings without basic facilities,0.5
Denmark,Dwellings without basic facilities,0.5
Finland,Dwellings without basic facilities,0.4
France,Dwellings without basic facilities,0.5
Germany,Dwellings without basic facilities,0.1
Greece,Dwellings without basic facilities,0.4
Hungary,Dwellings without basic facilities,3.5
Iceland,Dwellings without basic facilities,0.0
Ireland,Dwellings without basic facilities,0.2
Italy,Dwellings without basic facilities,0.6
Japan,Dwellings without basic facilities,6.4
Korea,Dwellings without basic facilities,2.5
Luxembourg,Dwellings without basic facilities,0.1
Mexico,Dwellings without basic facilities,25.9
Netherlands,Dwellings without basic facilities,0.1
Norway,Dwellings without basic facilities,0.0
Poland,Dwellings without basic facilities,2.3
Portugal,Dwellings without basic facilities,0.9
Slovak Republic,Dwellings without basic facilities,1.5
Spain,Dwellings without basic facilities,0.3
Sweden,Dwellings without basic facilities,0.0
Switzerland,Dwellings without basic facilities,0.0
Türkiye,Dwellings without basic facilities,4.9
United Kingdom,Dwellings without basic facilities,0.5
United States,Dwellings without basic facilities,0.1
Brazil,Dwellings without basic facilities,6.7
Chile,Dwellings without basic facilities,9.4
Estonia,Dwellings without basic facilities,5.7
Latvia,Dwellings without basic facilities,11.2
Russia,Dwellings without basic facilities,13.8
Slovenia,Dwellings without basic facilities,0.2
South Africa,Dwellings without basic facilities,35.9
OECD - Total,Dwellings without basic facilities,3.0
Australia,Housing expenditure,19.4
Austria,Housing expenditure,20.8
Belgium,Housing expenditure,20.0
Canada,Housing expenditure,22.9
Czech Republic,Housing expenditure,23.4
Denmark,Housing expenditure,23.3
Finland,Housing expenditure,23.1
France,Housing expenditure,20.7
Germany,Housing expenditure,20.0
Greece,Housing expenditure,21.8
Hungary,Housing expenditure,19.9
Ireland,Housing expenditure,20.6
Italy,Housing expenditure,22.5
Japan,Housing expenditure,21.8
Korea,Housing expenditure,14.7
Luxembourg,Housing expenditure,20.7
Mexico,Housing expenditure,17.8
Netherlands,Housing expenditure,19.6
New Zealand,Housing expenditure,25.0
Norway,Housing expenditure,17.7
Poland,Housing expenditure,21.2
Portugal,Housing expenditure,19.6
Slovak Republic,Housing expenditure,27.4
Spain,Housing expenditure,21.7
Sweden,Housing expenditure,20.1
Switzerland,Housing expenditure,21.4
Türkiye,Housing expenditure,18.9
United Kingdom,Housing expenditure,23.2
United States,Housing expenditure,18.3
Chile,Housing expenditure,18.4
Estonia,Housing expenditure,17.0
Latvia,Housing expenditure,20.8
Russia,Housing expenditure,17.4
Slovenia,Housing expenditure,18.2
South Africa,Housing expenditure,18.1
OECD - Total,Housing expenditure,20.5
Australia,Feeling safe walking alone at night,67.0
Austria,Feeling safe walking alone at night,86.0
Belgium,Feeling safe walking alone at night,56.0
Canada,Feeling safe walking alone at night,78.0
Czech Republic,Feeling safe walking alone at night,77.0
Denmark,Feeling safe walking alone at night,85.0
Finland,Feeling safe walking alone at night,88.0
France,Feeling safe walking alone at night,74.0
Germany,Feeling safe walking alone at night,76.0
Greece,Feeling safe walking alone at night,69.0
Hungary,Feeling safe walking alone at night,74.0
Iceland,Feeling safe walking alone at night,85.0
Ireland,Feeling safe walking alone at night,76.0
Italy,Feeling safe walking alone at night,73.0
Japan,Feeling safe walking alone at night,77.0
Korea,Feeling safe walking alone at night,82.0
Luxembourg,Feeling safe walking alone at night,87.0
Mexico,Feeling safe walking alone at night,42.0
Netherlands,Feeling safe walking alone at night,83.0
New Zealand,Feeling safe walking alone at night,66.0
Norway,Feeling safe walking alone at night,93.0
Poland,Feeling safe walking alone at night,71.0
Portugal,Feeling safe walking alone at night,83.0
Slovak Republic,Feeling safe walking alone at night,76.0
Spain,Feeling safe walking alone at night,80.0
Sweden,Feeling safe walking alone at night,79.0
Switzerland,Feeling safe walking alone at night,86.0
Türkiye,Feeling safe walking alone at night,59.0
United Kingdom,Feeling safe walking alone at night,78.0
United States,Feeling safe walking alone at night,78.0
Brazil,Feeling safe walking alone at night,45.0
Chile,Feeling safe walking alone at night,41.0
Estonia,Feeling safe walking alone at night,79.0
Israel,Feeling safe walking alone at night,80.0
Latvia,Feeling safe walking alone at night,72.0
Russia,Feeling safe walking alone at night,64.0
Slovenia,Feeling safe walking alone at night,91.0
South Africa,Feeling safe walking alone at night,40.0
OECD - Total,Feeling safe walking alone at night,74.0
Austria,Rooms per person,1.6
Belgium,Rooms per person,2.1
Canada,Rooms per person,2.6
Czech Republic,Rooms per person,1.5
Denmark,Rooms per person,1.9
Finland,Rooms per person,1.9
France,Rooms per person,1.8
Germany,Rooms per person,1.8
Greece,Rooms per person,1.2
Hungary,Rooms per person,1.4
Iceland,Rooms per person,1.6
Ireland,Rooms per person,2.1
Italy,Rooms per person,1.4
Japan,Rooms per person,1.9
Korea,Rooms per person,1.5
Luxembourg,Rooms per person,2.0
Mexico,Rooms per person,1.1
Netherlands,Rooms per person,2.0
New Zealand,Rooms per person,2.4
Norway,Rooms per person,2.1
Poland,Rooms per person,1.1
Portugal,Rooms per person,1.7
Slovak Republic,Rooms per person,1.1
Spain,Rooms per person,1.9
Sweden,Rooms per person,1.7
Switzerland,Rooms per person,1.9
Türkiye,Rooms per person,1.0
United Kingdom,Rooms per person,2.0
United States,Rooms per person,2.4
Chile,Rooms per person,1.9
Estonia,Rooms per person,1.7
Israel,Rooms per person,1.2
Latvia,Rooms per person,1.2
Russia,Rooms per person,1.0
Slovenia,Rooms per person,1.6
OECD - Total,Rooms per person,1.7
Australia,Household net adjusted disposable income,37433.0
Austria,Household net adjusted disposable income,37001.0
Belgium,Household net adjusted disposable income,34884.0
Canada,Household net adjusted disposable income,34421.0
Czech Republic,Household net adjusted disposable income,26664.0
Denmark,Household net adjusted disposable income,33774.0
Finland,Household net adjusted disposable income,33471.0
France,Household net adjusted disposable income,34375.0
Germany,Household net adjusted disposable income,38971.0
Greece,Household net adjusted disposable income,20791.0
Hungary,Household net adjusted disposable income,21026.0
Ireland,Household net adjusted disposable income,29488.0
Italy,Household net adjusted disposable income,29431.0
Japan,Household net adjusted disposable income,28872.0
Korea,Household net adjusted disposable income,24590.0
Luxembourg,Household net adjusted disposable income,44773.0
Mexico,Household net adjusted disposable income,16269.0
Netherlands,Household net adjusted disposable income,34984.0
New Zealand,Household net adjusted disposable income,39024.0
Norway,Household net adjusted disposable income,39144.0
Poland,Household net adjusted disposable income,23675.0
Portugal,Household net adjusted disposable income,24877.0
Slovak Republic,Household net adjusted disposable income,21149.0
Spain,Household net adjusted disposable income,27155.0
Sweden,Household net adjusted disposable income,33730.0
Switzerland,Household net adjusted disposable income,39697.0
United Kingdom,Household net adjusted disposable income,33049.0
United States,Household net adjusted disposable income,51147.0
Estonia,Household net adjusted disposable income,23784.0
Latvia,Household net adjusted disposable income,19783.0
Russia,Household net adjusted disposable income,19546.0
Slovenia,Household net adjusted disposable income,25250.0
South Africa,Household net adjusted disposable income,9338.0
OECD - Total,Household net adjusted disposable income,30490.0
Australia,Household net wealth,528768.0
Austria,Household net wealth,309637.0
Belgium,Household net wealth,447607.0
Canada,Household net wealth,478240.0
Denmark,Household net wealth,149864.0
Finland,Household net wealth,230032.0
France,Household net wealth,298639.0
Germany,Household net wealth,304317.0
Greece,Household net wealth,148323.0
Hungary,Household net wealth,150296.0
Ireland,Household net wealth,370341.0
Italy,Household net wealth,295020.0
Japan,Household net wealth,294735.0
Korea,Household net wealth,362340.0
Luxembourg,Household net wealth,941162.0
Netherlands,Household net wealth,248599.0
New Zealand,Household net wealth,514162.0
Norway,Household net wealth,268358.0
Poland,Household net wealth,233221.0
Portugal,Household net wealth,255303.0
Slovak Republic,Household net wealth,171425.0
Spain,Household net wealth,366534.0
United Kingdom,Household net wealth,524422.0
United States,Household net wealth,684500.0
Chile,Household net wealth,135787.0
Estonia,Household net wealth,188627.0
Latvia,Household net wealth,79245.0
Slovenia,Household net wealth,233286.0
OECD - Total,Household net wealth,323960.0
Australia,Employment rate,73.0
Austria,Employment rate,72.0
Belgium,Employment rate,65.0
Canada,Employment rate,70.0
Czech Republic,Employment rate,74.0
Denmark,Employment rate,74.0
Finland,Employment rate,72.0
France,Employment rate,65.0
Germany,Employment rate,77.0
Greece,Employment rate,56.0
Hungary,Employment rate,70.0
Iceland,Employment rate,78.0
Ireland,Employment rate,68.0
Italy,Employment rate,58.0
Japan,Employment rate,77.0
Korea,Employment rate,66.0
Luxembourg,Employment rate,67.0
Mexico,Employment rate,59.0
Netherlands,Employment rate,78.0
New Zealand,Employment rate,77.0
Norway,Employment rate,75.0
Poland,Employment rate,69.0
Portugal,Employment rate,69.0
Slovak Republic,Employment rate,68.0
Spain,Employment rate,62.0
Sweden,Employment rate,75.0
Switzerland,Employment rate,80.0
Türkiye,Employment rate,48.0
United Kingdom,Employment rate,75.0
United States,Employment rate,67.0
Brazil,Employment rate,57.0
Chile,Employment rate,56.0
Estonia,Employment rate,74.0
Israel,Employment rate,67.0
Latvia,Employment rate,72.0
Russia,Employment rate,70.0
Slovenia,Employment rate,71.0
South Africa,Employment rate,39.0
OECD - Total,Employment rate,66.0
Australia,Long-term unemployment rate,1.0
Austria,Long-term unemployment rate,1.3
Belgium,Long-term unemployment rate,2.3
Canada,Long-term unemployment rate,0.5
Czech Republic,Long-term unemployment rate,0.6
Denmark,Long-term unemployment rate,0.9
Finland,Long-term unemployment rate,1.2
France,Long-term unemployment rate,2.9
Germany,Long-term unemployment rate,1.2
Greece,Long-term unemployment rate,10.8
Hungary,Long-term unemployment rate,1.2
Iceland,Long-term unemployment rate,0.7
Ireland,Long-term unemployment rate,1.2
Italy,Long-term unemployment rate,4.8
Japan,Long-term unemployment rate,0.8
Korea,Long-term unemployment rate,0.0
Luxembourg,Long-term unemployment rate,1.7
Mexico,Long-term unemployment rate,0.1
Netherlands,Long-term unemployment rate,0.9
New Zealand,Long-term unemployment rate,0.4
Norway,Long-term unemployment rate,0.9
Poland,Long-term unemployment rate,0.6
Portugal,Long-term unemployment rate,2.3
Slovak Republic,Long-term unemployment rate,3.0
Spain,Long-term unemployment rate,5.0
Sweden,Long-term unemployment rate,1.0
Switzerland,Long-term unemployment rate,1.7
Türkiye,Long-term unemployment rate,3.3
United Kingdom,Long-term unemployment rate,0.9
United States,Long-term unemployment rate,0.5
Estonia,Long-term unemployment rate,1.2
Israel,Long-term unemployment rate,0.2
Latvia,Long-term unemployment rate,2.2
Russia,Long-term unemployment rate,1.1
Slovenia,Long-term unemployment rate,1.9
South Africa,Long-term unemployment rate,17.9
OECD - Total,Long-term unemployment rate,1.3
Australia,Personal earnings,55206.0
Austria,Personal earnings,53132.0
Belgium,Personal earnings,54327.0
Canada,Personal earnings,55342.0
Czech Republic,Personal earnings,29885.0
Denmark,Personal earnings,58430.0
Finland,Personal earnings,46230.0
France,Personal earnings,45581.0
Germany,Personal earnings,53745.0
Greece,Personal earnings,27207.0
Hungary,Personal earnings,25409.0
Iceland,Personal earnings,67488.0
Ireland,Personal earnings,49474.0
Italy,Personal earnings,37769.0
Japan,Personal earnings,38515.0
Korea,Personal earnings,41960.0
Luxembourg,Personal earnings,65854.0
Mexico,Personal earnings,16230.0
Netherlands,Personal earnings,58828.0
New Zealand,Personal earnings,45269.0
Norway,Personal earnings,55780.0
Poland,Personal earnings,32527.0
Portugal,Personal earnings,28410.0
Slovak Republic,Personal earnings,23619.0
Spain,Personal earnings,37922.0
Sweden,Personal earnings,47020.0
Switzerland,Personal earnings,64824.0
United Kingdom,Personal earnings,47147.0
United States,Personal earnings,69392.0
Chile,Personal earnings,26729.0
Estonia,Personal earnings,30720.0
Israel,Personal earnings,39322.0
Latvia,Personal earnings,29876.0
Slovenia,Personal earnings,41445.0
OECD - Total,Personal earnings,49165.0
Australia,Quality of support network,93.0
Austria,Quality of support network,92.0
Belgium,Quality of support network,90.0
Canada,Quality of support network,93.0
Czech Republic,Quality of support network,96.0
Denmark,Quality of support network,95.0
Finland,Quality of support network,96.0
France,Quality of support network,94.0
Germany,Quality of support network,90.0
Greece,Quality of support network,78.0
Hungary,Quality of support network,94.0
Iceland,Quality of support network,98.0
Ireland,Quality of support network,96.0
Italy,Quality of support network,89.0
Japan,Quality of support network,89.0
Korea,Quality of support network,80.0
Luxembourg,Quality of support network,91.0
Mexico,Quality of support network,77.0
Netherlands,Quality of support network,94.0
New Zealand,Quality of support network,95.0
Norway,Quality of support network,96.0
Poland,Quality of support network,94.0
Portugal,Quality of support network,87.0
Slovak Republic,Quality of support network,95.0
Spain,Quality of support network,93.0
Sweden,Quality of support network,94.0
Switzerland,Quality of support network,94.0
Türkiye,Quality of support network,85.0
United Kingdom,Quality of support network,93.0
United States,Quality of support network,94.0
Brazil,Quality of support network,83.0
Chile,Quality of support network,88.0
Estonia,Quality of support network,95.0
Israel,Quality of support network,95.0
Latvia,Quality of support network,92.0
Russia,Quality of support network,89.0
Slovenia,Quality of support network,95.0
South Africa,Quality of support network,89.0
OECD - Total,Quality of support network,91.0
Australia,Educational attainment,84.0
Austria,Educational attainment,86.0
Belgium,Educational attainment,80.0
Canada,Educational attainment,92.0
Czech Republic,Educational attainment,94.0
Denmark,Educational attainment,82.0
Finland,Educational attainment,91.0
France,Educational attainment,81.0
Germany,Educational attainment,86.0
Greece,Educational attainment,76.0
Hungary,Educational attainment,86.0
Iceland,Educational attainment,76.0
Ireland,Educational attainment,85.0
Italy,Educational attainment,63.0
Korea,Educational attainment,89.0
Luxembourg,Educational attainment,74.0
Mexico,Educational attainment,42.0
Netherlands,Educational attainment,81.0
New Zealand,Educational attainment,81.0
Norway,Educational attainment,82.0
Poland,Educational attainment,93.0
Portugal,Educational attainment,55.0
Slovak Republic,Educational attainment,92.0
Spain,Educational attainment,63.0
Sweden,Educational attainment,84.0
Switzerland,Educational attainment,89.0
Türkiye,Educational attainment,42.0
United Kingdom,Educational attainment,82.0
United States,Educational attainment,92.0
Brazil,Educational attainment,57.0
Chile,Educational attainment,67.0
Estonia,Educational attainment,91.0
Israel,Educational attainment,88.0
Latvia,Educational attainment,89.0
Russia,Educational attainment,95.0
Slovenia,Educational attainment,90.0
South Africa,Educational attainment,48.0
OECD - Total,Educational attainment,79.0
Australia,Student skills,499.0
Austria,Student skills,491.0
Belgium,Student skills,500.0
Canada,Student skills,517.0
Czech Republic,Student skills,495.0
Denmark,Student skills,501.0
Finland,Student skills,516.0
France,Student skills,494.0
Germany,Student skills,500.0
Greece,Student skills,453.0
Hungary,Student skills,479.0
Iceland,Student skills,481.0
Ireland,Student skills,505.0
Italy,Student skills,477.0
Japan,Student skills,520.0
Korea,Student skills,520.0
Luxembourg,Student skills,477.0
Mexico,Student skills,416.0
Netherlands,Student skills,502.0
New Zealand,Student skills,503.0
Norway,Student skills,497.0
Poland,Student skills,513.0
Portugal,Student skills,492.0
Slovak Republic,Student skills,469.0
Sweden,Student skills,503.0
Switzerland,Student skills,498.0
Türkiye,Student skills,462.0
United Kingdom,Student skills,503.0
United States,Student skills,495.0
Brazil,Student skills,400.0
Chile,Student skills,438.0
Estonia,Student skills,526.0
Israel,Student skills,465.0
Latvia,Student skills,487.0
Russia,Student skills,481.0
Slovenia,Student skills,504.0
OECD - Total,Student skills,488.0
Australia,Years in education,20.0
Austria,Years in education,17.0
Belgium,Years in education,19.0
Canada,Years in education,17.0
Czech Republic,Years in education,18.0
Denmark,Years in education,19.0
Finland,Years in education,20.0
France,Years in education,17.0
Germany,Years in education,18.0
Greece,Years in education,19.0
Hungary,Years in education,16.0
Iceland,Years in education,19.0
Ireland,Years in education,18.0
Italy,Years in education,17.0
Japan,Years in education,16.0
Korea,Years in education,17.0
Luxembourg,Years in education,15.0
Mexico,Years in education,15.0
Netherlands,Years in education,19.0
New Zealand,Years in education,18.0
Norway,Years in education,18.0
Poland,Years in education,18.0
Portugal,Years in education,17.0
Slovak Republic,Years in education,16.0
Spain,Years in education,18.0
Sweden,Years in education,20.0
Switzerland,Years in education,17.0
Türkiye,Years in education,19.0
United Kingdom,Years in education,17.0
United States,Years in education,17.0
Brazil,Years in education,16.0
Chile,Years in education,17.0
Estonia,Years in education,18.0
Israel,Years in education,16.0
Latvia,Years in education,18.0
Russia,Years in education,16.0
Slovenia,Years in education,18.0
OECD - Total,Years in education,18.0
Australia,Air pollution,6.7
Austria,Air pollution,12.2
Belgium,Air pollution,12.8
Canada,Air pollution,7.1
Czech Republic,Air pollution,17.0
Denmark,Air pollution,10.0
Finland,Air pollution,5.5
France,Air pollution,11.4
Germany,Air pollution,12.0
Greece,Air pollution,14.5
Hungary,Air pollution,16.7
Iceland,Air pollution,6.4
Ireland,Air pollution,7.8
Italy,Air pollution,15.9
Japan,Air pollution,13.7
Korea,Air pollution,27.3
Luxembourg,Air pollution,10.0
Mexico,Air pollution,20.3
Netherlands,Air pollution,12.2
New Zealand,Air pollution,6.0
Norway,Air pollution,6.7
Poland,Air pollution,22.8
Portugal,Air pollution,8.3
Slovak Republic,Air pollution,18.5
Spain,Air pollution,10.0
Sweden,Air pollution,5.8
Switzerland,Air pollution,10.1
Türkiye,Air pollution,27.1
United Kingdom,Air pollution,10.1
United States,Air pollution,7.7
Brazil,Air pollution,11.7
Chile,Air pollution,23.4
Estonia,Air pollution,5.9
Israel,Air pollution,19.7
Latvia,Air pollution,12.7
Russia,Air pollution,11.8
Slovenia,Air pollution,17.0
South Africa,Air pollution,28.5
OECD - Total,Air pollution,14.0
Australia,Water quality,92.0
Austria,Water quality,92.0
Belgium,Water quality,79.0
Canada,Water quality,90.0
Czech Republic,Water quality,89.0
Denmark,Water quality,93.0
Finland,Water quality,97.0
France,Water quality,78.0
Germany,Water quality,91.0
Greece,Water quality,67.0
Hungary,Water quality,81.0
Iceland,Water quality,97.0
Ireland,Water quality,80.0
Italy,Water quality,77.0
Japan,Water quality,87.0
Korea,Water quality,82.0
Luxembourg,Water quality,85.0
Mexico,Water quality,75.0
Netherlands,Water quality,91.0
New Zealand,Water quality,85.0
Norway,Water quality,98.0
Poland,Water quality,82.0
Portugal,Water quality,89.0
Slovak Republic,Water quality,81.0
Spain,Water quality,76.0
Sweden,Water quality,97.0
Switzerland,Water quality,96.0
Türkiye,Water quality,62.0
United Kingdom,Water quality,82.0
United States,Water quality,88.0
Brazil,Water quality,70.0
Chile,Water quality,62.0
Estonia,Water quality,86.0
Israel,Water quality,77.0
Latvia,Water quality,83.0
Russia,Water quality,62.0
Slovenia,Water quality,93.0
South Africa,Water quality,72.0
OECD - Total,Water quality,84.0
Australia,Voter turnout,92.0
Austria,Voter turnout,76.0
Belgium,Voter turnout,88.0
Canada,Voter turnout,68.0
Czech Republic,Voter turnout,62.0
Denmark,Voter turnout,85.0
Finland,Voter turnout,69.0
France,Voter turnout,75.0
Germany,Voter turnout,76.0
Greece,Voter turnout,58.0
Hungary,Voter turnout,70.0
Iceland,Voter turnout,81.0
Ireland,Voter turnout,63.0
Italy,Voter turnout,73.0
Japan,Voter turnout,53.0
Korea,Voter turnout,77.0
Luxembourg,Voter turnout,90.0
Mexico,Voter turnout,63.0
Netherlands,Voter turnout,79.0
New Zealand,Voter turnout,82.0
Norway,Voter turnout,78.0
Poland,Voter turnout,68.0
Portugal,Voter turnout,49.0
Slovak Republic,Voter turnout,66.0
Spain,Voter turnout,72.0
Sweden,Voter turnout,87.0
Switzerland,Voter turnout,45.0
Türkiye,Voter turnout,86.0
United Kingdom,Voter turnout,68.0
United States,Voter turnout,65.0
Brazil,Voter turnout,80.0
Chile,Voter turnout,47.0
Estonia,Voter turnout,64.0
Israel,Voter turnout,67.0
Latvia,Voter turnout,55.0
Russia,Voter turnout,68.0
Slovenia,Voter turnout,53.0
South Africa,Voter turnout,66.0
OECD - Total,Voter turnout,69.0
Australia,Life expectancy,83.0
Austria,Life expectancy,82.0
Belgium,Life expectancy,82.1
Canada,Life expectancy,82.1
Czech Republic,Life expectancy,79.3
Denmark,Life expectancy,81.5
Finland,Life expectancy,82.1
France,Life expectancy,82.9
Germany,Life expectancy,81.4
Greece,Life expectancy,81.7
Hungary,Life expectancy,76.4
Iceland,Life expectancy,83.2
Ireland,Life expectancy,82.8
Italy,Life expectancy,83.6
Japan,Life expectancy,84.4
Korea,Life expectancy,83.3
Luxembourg,Life expectancy,82.7
Mexico,Life expectancy,75.1
Netherlands,Life expectancy,82.2
New Zealand,Life expectancy,82.1
Norway,Life expectancy,83.0
Poland,Life expectancy,78.0
Portugal,Life expectancy,81.8
Slovak Republic,Life expectancy,77.8
Spain,Life expectancy,83.9
Sweden,Life expectancy,83.2
Switzerland,Life expectancy,84.0
Türkiye,Life expectancy,78.6
United Kingdom,Life expectancy,81.3
United States,Life expectancy,78.9
Brazil,Life expectancy,75.9
Chile,Life expectancy,80.6
Estonia,Life expectancy,78.8
Israel,Life expectancy,82.9
Latvia,Life expectancy,75.5
Russia,Life expectancy,73.2
Slovenia,Life expectancy,81.6
South Africa,Life expectancy,64.2
OECD - Total,Life expectancy,81.0
Australia,Self-reported health,85.0
Austria,Self-reported health,71.0
Belgium,Self-reported health,74.0
Canada,Self-reported health,89.0
Czech Republic,Self-reported health,62.0
Denmark,Self-reported health,70.0
Finland,Self-reported health,68.0
France,Self-reported health,67.0
Germany,Self-reported health,66.0
Greece,Self-reported health,79.0
Hungary,Self-reported health,58.0
Iceland,Self-reported health,77.0
Ireland,Self-reported health,84.0
Italy,Self-reported health,73.0
Japan,Self-reported health,37.0
Korea,Self-reported health,34.0
Luxembourg,Self-reported health,72.0
Mexico,Self-reported health,66.0
Netherlands,Self-reported health,75.0
New Zealand,Self-reported health,86.0
Norway,Self-reported health,75.0
Poland,Self-reported health,60.0
Portugal,Self-reported health,50.0
Slovak Republic,Self-reported health,65.0
Spain,Self-reported health,75.0
Sweden,Self-reported health,76.0
Switzerland,Self-reported health,81.0
Türkiye,Self-reported health,67.0
United Kingdom,Self-reported health,73.0
United States,Self-reported health,88.0
Chile,Self-reported health,60.0
Estonia,Self-reported health,57.0
Israel,Self-reported health,74.0
Latvia,Self-reported health,47.0
Russia,Self-reported health,43.0
Slovenia,Self-reported health,67.0
OECD - Total,Self-reported health,68.0
Australia,Life satisfaction,7.1
Austria,Life satisfaction,7.2
Belgium,Life satisfaction,6.8
Canada,Life satisfaction,7.0
Czech Republic,Life satisfaction,6.9
Denmark,Life satisfaction,7.5
Finland,Life satisfaction,7.9
France,Life satisfaction,6.7
Germany,Life satisfaction,7.3
Greece,Life satisfaction,5.8
Hungary,Life satisfaction,6.0
Iceland,Life satisfaction,7.6
Ireland,Life satisfaction,7.0
Italy,Life satisfaction,6.5
Japan,Life satisfaction,6.1
Korea,Life satisfaction,5.8
Luxembourg,Life satisfaction,7.4
Mexico,Life satisfaction,6.0
Netherlands,Life satisfaction,7.5
New Zealand,Life satisfaction,7.3
Norway,Life satisfaction,7.3
Poland,Life satisfaction,6.1
Portugal,Life satisfaction,5.8
Slovak Republic,Life satisfaction,6.5
Spain,Life satisfaction,6.5
Sweden,Life satisfaction,7.3
Switzerland,Life satisfaction,7.5
Türkiye,Life satisfaction,4.9
United Kingdom,Life satisfaction,6.8
United States,Life satisfaction,7.0
Brazil,Life satisfaction,6.1
Chile,Life satisfaction,6.2
Estonia,Life satisfaction,6.5
Israel,Life satisfaction,7.2
Latvia,Life satisfaction,6.2
Russia,Life satisfaction,5.5
Slovenia,Life satisfaction,6.5
South Africa,Life satisfaction,4.9
OECD - Total,Life satisfaction,6.7
Australia,Homicide rate,0.9
Austria,Homicide rate,0.5
Belgium,Homicide rate,1.1
Canada,Homicide rate,1.2
Czech Republic,Homicide rate,0.7
Denmark,Homicide rate,0.5
Finland,Homicide rate,1.2
France,Homicide rate,0.4
Germany,Homicide rate,0.4
Greece,Homicide rate,1.0
Hungary,Homicide rate,0.9
Iceland,Homicide rate,0.3
Ireland,Homicide rate,0.5
Italy,Homicide rate,0.5
Japan,Homicide rate,0.2
Korea,Homicide rate,0.8
Luxembourg,Homicide rate,0.2
Mexico,Homicide rate,26.8
Netherlands,Homicide rate,0.6
New Zealand,Homicide rate,1.3
Norway,Homicide rate,0.6
Poland,Homicide rate,0.5
Portugal,Homicide rate,0.7
Slovak Republic,Homicide rate,0.8
Spain,Homicide rate,0.7
Sweden,Homicide rate,1.1
Switzerland,Homicide rate,0.3
Türkiye,Homicide rate,1.0
United Kingdom,Homicide rate,0.2
United States,Homicide rate,6.0
Brazil,Homicide rate,19.0
Chile,Homicide rate,2.4
Estonia,Homicide rate,1.9
Israel,Homicide rate,1.5
Latvia,Homicide rate,3.7
Russia,Homicide rate,4.8
Slovenia,Homicide rate,0.4
South Africa,Homicide rate,13.7
OECD - Total,Homicide rate,2.6
