,Country,Indicator,Value
272,Ireland,Rooms per person,2.1
273,Italy,Rooms per person,1.4
274,Japan,Rooms per person,1.9
275,Korea,Rooms per person,1.5
276,Luxembourg,Rooms per person,2.0
277,Mexico,Rooms per person,1.1
278,Netherlands,Rooms per person,2.0
279,New Zealand,Rooms per person,2.4
280,Norway,Rooms per person,2.1
281,Poland,Rooms per person,1.1
282,Portugal,Rooms per person,1.7
283,Slovak Republic,Rooms per person,1.1
284,Spain,Rooms per person,1.9
285,Sweden,Rooms per person,1.7
286,Switzerland,Rooms per person,1.9
287,Türkiye,Rooms per person,1.0
288,United Kingdom,Rooms per person,2.0
289,United States,Rooms per person,2.4
290,Chile,Rooms per person,1.9
291,Estonia,Rooms per person,1.7
292,Israel,Rooms per person,1.2
293,Latvia,Rooms per person,1.2
294,Russia,Rooms per person,1.0
295,Slovenia,Rooms per person,1.6
296,OECD - Total,Rooms per person,1.7
297,Australia,Household net adjusted disposable income,37433.0
298,Austria,Household net adjusted disposable income,37001.0
299,Belgium,Household net adjusted disposable income,34884.0
300,Canada,Household net adjusted disposable income,34421.0
301,Czech Republic,Household net adjusted disposable income,26664.0
302,Denmark,Household net adjusted disposable income,33774.0
303,Finland,Household net adjusted disposable income,33471.0
304,France,Household net adjusted disposable income,34375.0
305,Germany,Household net adjusted disposable income,38971.0
306,Greece,Household net adjusted disposable income,20791.0
307,Hungary,Household net adjusted disposable income,21026.0
308,Ireland,Household net adjusted disposable income,29488.0
309,Italy,Household net adjusted disposable income,29431.0
310,Japan,Household net adjusted disposable income,28872.0
311,Korea,Household net adjusted disposable income,24590.0
312,Luxembourg,Household net adjusted disposable income,44773.0
313,Mexico,Household net adjusted disposable income,16269.0
314,Netherlands,Household net adjusted disposable income,34984.0
315,New Zealand,Household net adjusted disposable income,39024.0
316,Norway,Household net adjusted disposable income,39144.0
317,Poland,Household net adjusted disposable income,23675.0
318,Portugal,Household net adjusted disposable income,24877.0
319,Slovak Republic,Household net adjusted disposable income,21149.0
320,Spain,Household net adjusted disposable income,27155.0
321,Sweden,Household net adjusted disposable income,33730.0
322,Switzerland,Household net adjusted disposable income,39697.0
323,United Kingdom,Household net adjusted disposable income,33049.0
324,United States,Household net adjusted disposable income,51147.0
325,Estonia,Household net adjusted disposable income,23784.0
326,Latvia,Household net adjusted disposable income,19783.0
327,Russia,Household net adjusted disposable income,19546.0
328,Slovenia,Household net adjusted disposable income,25250.0
329,South Africa,Household net adjusted disposable income,9338.0
330,OECD - Total,Household net adjusted disposable income,30490.0
331,Australia,Household net wealth,528768.0
332,Austria,Household net wealth,309637.0
333,Belgium,Household net wealth,447607.0
334,Canada,Household net wealth,478240.0
335,Denmark,Household net wealth,149864.0
336,Finland,Household net wealth,230032.0
337,France,Household net wealth,298639.0
338,Germany,Household net wealth,304317.0
339,Greece,Household net wealth,148323.0
340,Hungary,Household net wealth,150296.0
341,Ireland,Household net wealth,370341.0
342,Italy,Household net wealth,295020.0
343,Japan,Household net wealth,294735.0
344,Korea,Household net wealth,362340.0
345,Luxembourg,Household net wealth,941162.0
346,Netherlands,Household net wealth,248599.0
347,New Zealand,Household net wealth,514162.0
348,Norway,Household net wealth,268358.0
349,Poland,Household net wealth,233221.0
350,Portugal,Household net wealth,255303.0
351,Slovak Republic,Household net wealth,171425.0
352,Spain,Household net wealth,366534.0
353,United Kingdom,Household net wealth,524422.0
354,United States,Household net wealth,684500.0
355,Chile,Household net wealth,135787.0
356,Estonia,Household net wealth,188627.0
357,Latvia,Household net wealth,79245.0
358,Slovenia,Household net wealth,233286.0
359,OECD - Total,Household net wealth,323960.0
360,Australia,Employment rate,73.0
361,Austria,Employment rate,72.0
362,Belgium,Employment rate,65.0
363,Canada,Employment rate,70.0
364,Czech Republic,Employment rate,74.0
365,Denmark,Employment rate,74.0
366,Finland,Employment rate,72.0
367,France,Employment rate,65.0
368,Germany,Employment rate,77.0
369,Greece,Employment rate,56.0
370,Hungary,Employment rate,70.0
371,Iceland,Employment rate,78.0
372,Ireland,Employment rate,68.0
373,Italy,Employment rate,58.0
374,Japan,Employment rate,77.0
375,Korea,Employment rate,66.0
376,Luxembourg,Employment rate,67.0
377,Mexico,Employment rate,59.0
378,Netherlands,Employment rate,78.0
379,New Zealand,Employment rate,77.0
380,Norway,Employment rate,75.0
381,Poland,Employment rate,69.0
382,Portugal,Employment rate,69.0
383,Slovak Republic,Employment rate,68.0
384,Spain,Employment rate,62.0
385,Sweden,Employment rate,75.0
386,Switzerland,Employment rate,80.0
387,Türkiye,Employment rate,48.0
388,United Kingdom,Employment rate,75.0
389,United States,Employment rate,67.0
390,Brazil,Employment rate,57.0
391,Chile,Employment rate,56.0
392,Estonia,Employment rate,74.0
393,Israel,Employment rate,67.0
394,Latvia,Employment rate,72.0
395,Russia,Employment rate,70.0
396,Slovenia,Employment rate,71.0
397,South Africa,Employment rate,39.0
398,OECD - Total,Employment rate,66.0
477,Australia,Long-term unemployment rate,1.0
478,Austria,Long-term unemployment rate,1.3
479,Belgium,Long-term unemployment rate,2.3
480,Canada,Long-term unemployment rate,0.5
481,Czech Republic,Long-term unemployment rate,0.6
482,Denmark,Long-term unemployment rate,0.9
483,Finland,Long-term unemployment rate,1.2
484,France,Long-term unemployment rate,2.9
485,Germany,Long-term unemployment rate,1.2
486,Greece,Long-term unemployment rate,10.8
487,Hungary,Long-term unemployment rate,1.2
488,Iceland,Long-term unemployment rate,0.7
489,Ireland,Long-term unemployment rate,1.2
490,Italy,Long-term unemployment rate,4.8
491,Japan,Long-term unemployment rate,0.8
492,Korea,Long-term unemployment rate,0.0
493,Luxembourg,Long-term unemployment rate,1.7
494,Mexico,Long-term unemployment rate,0.1
495,Netherlands,Long-term unemployment rate,0.9
496,New Zealand,Long-term unemployment rate,0.4
497,Norway,Long-term unemployment rate,0.9
498,Poland,Long-term unemployment rate,0.6
499,Portugal,Long-term unemployment rate,2.3
500,Slovak Republic,Long-term unemployment rate,3.0
501,Spain,Long-term unemployment rate,5.0
502,Sweden,Long-term unemployment rate,1.0
503,Switzerland,Long-term unemployment rate,1.7
504,Türkiye,Long-term unemployment rate,3.3
505,United Kingdom,Long-term unemployment rate,0.9
506,United States,Long-term unemployment rate,0.5
507,Estonia,Long-term unemployment rate,1.2
508,Israel,Long-term unemployment rate,0.2
509,Latvia,Long-term unemployment rate,2.2
510,Russia,Long-term unemployment rate,1.1
511,Slovenia,Long-term unemployment rate,1.9
512,South Africa,Long-term unemployment rate,17.9
513,OECD - Total,Long-term unemployment rate,1.3
588,Australia,Personal earnings,55206.0
589,Austria,Personal earnings,53132.0
590,Belgium,Personal earnings,54327.0
591,Canada,Personal earnings,55342.0
592,Czech Republic,Personal earnings,29885.0
593,Denmark,Personal earnings,58430.0
594,Finland,Personal earnings,46230.0
595,France,Personal earnings,45581.0
596,Germany,Personal earnings,53745.0
597,Greece,Personal earnings,27207.0
598,Hungary,Personal earnings,25409.0
599,Iceland,Personal earnings,67488.0
600,Ireland,Personal earnings,49474.0
601,Italy,Personal earnings,37769.0
602,Japan,Personal earnings,38515.0
603,Korea,Personal earnings,41960.0
604,Luxembourg,Personal earnings,65854.0
605,Mexico,Personal earnings,16230.0
606,Netherlands,Personal earnings,58828.0
607,New Zealand,Personal earnings,45269.0
608,Norway,Personal earnings,55780.0
609,Poland,Personal earnings,32527.0
610,Portugal,Personal earnings,28410.0
611,Slovak Republic,Personal earnings,23619.0
612,Spain,Personal earnings,37922.0
613,Sweden,Personal earnings,47020.0
614,Switzerland,Personal earnings,64824.0
615,United Kingdom,Personal earnings,47147.0
616,United States,Personal earnings,69392.0
617,Chile,Personal earnings,26729.0
618,Estonia,Personal earnings,30720.0
619,Israel,Personal earnings,39322.0
620,Latvia,Personal earnings,29876.0
621,Slovenia,Personal earnings,41445.0
622,OECD - Total,Personal earnings,49165.0
623,Australia,Quality of support network,93.0
624,Austria,Quality of support network,92.0
625,Belgium,Quality of support network,90.0
626,Canada,Quality of support network,93.0
627,Czech Republic,Quality of support network,96.0
628,Denmark,Quality of support network,95.0
629,Finland,Quality of support network,96.0
630,France,Quality of support network,94.0
631,Germany,Quality of support network,90.0
632,Greece,Quality of support network,78.0
633,Hungary,Quality of support network,94.0
634,Iceland,Quality of support network,98.0
635,Ireland,Quality of support network,96.0
636,Italy,Quality of support network,89.0
637,Japan,Quality of support network,89.0
638,Korea,Quality of support network,80.0
639,Luxembourg,Quality of support network,91.0
640,Mexico,Quality of support network,77.0
641,Netherlands,Quality of support network,94.0
642,New Zealand,Quality of support network,95.0
643,Norway,Quality of support network,96.0
644,Poland,Quality of support network,94.0
645,Portugal,Quality of support network,87.0
646,Slovak Republic,Quality of support network,95.0
647,Spain,Quality of support network,93.0
648,Sweden,Quality of support network,94.0
649,Switzerland,Quality of support network,94.0
650,Türkiye,Quality of support network,85.0
651,United Kingdom,Quality of support network,93.0
652,United States,Quality of support network,94.0
653,Brazil,Quality of support network,83.0
654,Chile,Quality of support network,88.0
655,Estonia,Quality of support network,95.0
656,Israel,Quality of support network,95.0
657,Latvia,Quality of support network,92.0
658,Russia,Quality of support network,89.0
659,Slovenia,Quality of support network,95.0
660,South Africa,Quality of support network,89.0
661,OECD - Total,Quality of support network,91.0
816,Australia,Educational attainment,84.0
817,Austria,Educational attainment,86.0
818,Belgium,Educational attainment,80.0
819,Canada,Educational attainment,92.0
820,Czech Republic,Educational attainment,94.0
821,Denmark,Educational attainment,82.0
822,Finland,Educational attainment,91.0
823,France,Educational attainment,81.0
824,Germany,Educational attainment,86.0
825,Greece,Educational attainment,76.0
826,Hungary,Educational attainment,86.0
827,Iceland,Educational attainment,76.0
828,Ireland,Educational attainment,85.0
829,Italy,Educational attainment,63.0
830,Korea,Educational attainment,89.0
831,Luxembourg,Educational attainment,74.0
832,Mexico,Educational attainment,42.0
833,Netherlands,Educational attainment,81.0
834,New Zealand,Educational attainment,81.0
835,Norway,Educational attainment,82.0
836,Poland,Educational attainment,93.0
837,Portugal,Educational attainment,55.0
838,Slovak Republic,Educational attainment,92.0
839,Spain,Educational attainment,63.0
840,Sweden,Educational attainment,84.0
841,Switzerland,Educational attainment,89.0
842,Türkiye,Educational attainment,42.0
843,United Kingdom,Educational attainment,82.0
844,United States,Educational attainment,92.0
845,Brazil,Educational attainment,57.0
846,Chile,Educational attainment,67.0
847,Estonia,Educational attainment,91.0
848,Israel,Educational attainment,88.0
849,Latvia,Educational attainment,89.0
850,Russia,Educational attainment,95.0
851,Slovenia,Educational attainment,90.0
852,South Africa,Educational attainment,48.0
853,OECD - Total,Educational attainment,79.0
930,Australia,Student skills,499.0
931,Austria,Student skills,491.0
932,Belgium,Student skills,500.0
933,Canada,Student skills,517.0
934,Czech Republic,Student skills,495.0
935,Denmark,Student skills,501.0
936,Finland,Student skills,516.0
937,France,Student skills,494.0
938,Germany,Student skills,500.0
939,Greece,Student skills,453.0
940,Hungary,Student skills,479.0
941,Iceland,Student skills,481.0
942,Ireland,Student skills,505.0
943,Italy,Student skills,477.0
944,Japan,Student skills,520.0
945,Korea,Student skills,520.0
946,Luxembourg,Student skills,477.0
947,Mexico,Student skills,416.0
948,Netherlands,Student skills,502.0
949,New Zealand,Student skills,503.0
950,Norway,Student skills,497.0
951,Poland,Student skills,513.0
952,Portugal,Student skills,492.0
953,Slovak Republic,Student skills,469.0
954,Sweden,Student skills,503.0
955,Switzerland,Student skills,498.0
956,Türkiye,Student skills,462.0
957,United Kingdom,Student skills,503.0
958,United States,Student skills,495.0
959,Brazil,Student skills,400.0
960,Chile,Student skills,438.0
961,Estonia,Student skills,526.0
962,Israel,Student skills,465.0
963,Latvia,Student skills,487.0
964,Russia,Student skills,481.0
965,Slovenia,Student skills,504.0
966,OECD - Total,Student skills,488.0
1115,Australia,Years in education,20.0
1116,Austria,Years in education,17.0
1117,Belgium,Years in education,19.0
1118,Canada,Years in education,17.0
1119,Czech Republic,Years in education,18.0
1120,Denmark,Years in education,19.0
1121,Finland,Years in education,20.0
1122,France,Years in education,17.0
1123,Germany,Years in education,18.0
1124,Greece,Years in education,19.0
1125,Hungary,Years in education,16.0
1126,Iceland,Years in education,19.0
1127,Ireland,Years in education,18.0
1128,Italy,Years in education,17.0
1129,Japan,Years in education,16.0
1130,Korea,Years in education,17.0
1131,Luxembourg,Years in education,15.0
1132,Mexico,Years in education,15.0
1133,Netherlands,Years in education,19.0
1134,New Zealand,Years in education,18.0
1135,Norway,Years in education,18.0
1136,Poland,Years in education,18.0
1137,Portugal,Years in education,17.0
1138,Slovak Republic,Years in education,16.0
1139,Spain,Years in education,18.0
1140,Sweden,Years in education,20.0
1141,Switzerland,Years in education,17.0
1142,Türkiye,Years in education,19.0
1143,United Kingdom,Years in education,17.0
1144,United States,Years in education,17.0
1145,Brazil,Years in education,16.0
1146,Chile,Years in education,17.0
1147,Estonia,Years in education,18.0
1148,Israel,Years in education,16.0
1149,Latvia,Years in education,18.0
1150,Russia,Years in education,16.0
1151,Slovenia,Years in education,18.0
1152,OECD - Total,Years in education,18.0
1229,Australia,Air pollution,6.7
1230,Austria,Air pollution,12.2
1231,Belgium,Air pollution,12.8
1232,Canada,Air pollution,7.1
1233,Czech Republic,Air pollution,17.0
1234,Denmark,Air pollution,10.0
1235,Finland,Air pollution,5.5
1236,France,Air pollution,11.4
1237,Germany,Air pollution,12.0
1238,Greece,Air pollution,14.5
1239,Hungary,Air pollution,16.7
1240,Iceland,Air pollution,6.4
1241,Ireland,Air pollution,7.8
1242,Italy,Air pollution,15.9
1243,Japan,Air pollution,13.7
1244,Korea,Air pollution,27.3
1245,Luxembourg,Air pollution,10.0
1246,Mexico,Air pollution,20.3
1247,Netherlands,Air pollution,12.2
1248,New Zealand,Air pollution,6.0
1249,Norway,Air pollution,6.7
1250,Poland,Air pollution,22.8
1251,Portugal,Air pollution,8.3
1252,Slovak Republic,Air pollution,18.5
1253,Spain,Air pollution,10.0
1254,Sweden,Air pollution,5.8
1255,Switzerland,Air pollution,10.1
1256,Türkiye,Air pollution,27.1
1257,United Kingdom,Air pollution,10.1
1258,United States,Air pollution,7.7
1259,Brazil,Air pollution,11.7
1260,Chile,Air pollution,23.4
1261,Estonia,Air pollution,5.9
1262,Israel,Air pollution,19.7
1263,Latvia,Air pollution,12.7
1264,Russia,Air pollution,11.8
1265,Slovenia,Air pollution,17.0
1266,South Africa,Air pollution,28.5
1267,OECD - Total,Air pollution,14.0
1268,Australia,Water quality,92.0
1269,Austria,Water quality,92.0
1270,Belgium,Water quality,79.0
1271,Canada,Water quality,90.0
1272,Czech Republic,Water quality,89.0
1273,Denmark,Water quality,93.0
1274,Finland,Water quality,97.0
1275,France,Water quality,78.0
1276,Germany,Water quality,91.0
1277,Greece,Water quality,67.0
1278,Hungary,Water quality,81.0
1279,Iceland,Water quality,97.0
1280,Ireland,Water quality,80.0
1281,Italy,Water quality,77.0
1282,Japan,Water quality,87.0
1283,Korea,Water quality,82.0
1284,Luxembourg,Water quality,85.0
1285,Mexico,Water quality,75.0
1286,Netherlands,Water quality,91.0
1287,New Zealand,Water quality,85.0
1288,Norway,Water quality,98.0
1289,Poland,Water quality,82.0
1290,Portugal,Water quality,89.0
1291,Slovak Republic,Water quality,81.0
1292,Spain,Water quality,76.0
1293,Sweden,Water quality,97.0
1294,Switzerland,Water quality,96.0
1295,Türkiye,Water quality,62.0
1296,United Kingdom,Water quality,82.0
1297,United States,Water quality,88.0
1298,Brazil,Water quality,70.0
1299,Chile,Water quality,62.0
1300,Estonia,Water quality,86.0
1301,Israel,Water quality,77.0
1302,Latvia,Water quality,83.0
1303,Russia,Water quality,62.0
1304,Slovenia,Water quality,93.0
1305,South Africa,Water quality,72.0
1306,OECD - Total,Water quality,84.0
1385,Australia,Voter turnout,92.0
1386,Austria,Voter turnout,76.0
1387,Belgium,Voter turnout,88.0
1388,Canada,Voter turnout,68.0
1389,Czech Republic,Voter turnout,62.0
1390,Denmark,Voter turnout,85.0
1391,Finland,Voter turnout,69.0
1392,France,Voter turnout,75.0
1393,Germany,Voter turnout,76.0
1394,Greece,Voter turnout,58.0
1395,Hungary,Voter turnout,70.0
1396,Iceland,Voter turnout,81.0
1397,Ireland,Voter turnout,63.0
1398,Italy,Voter turnout,73.0
1399,Japan,Voter turnout,53.0
1400,Korea,Voter turnout,77.0
1401,Luxembourg,Voter turnout,90.0
1402,Mexico,Voter turnout,63.0
1403,Netherlands,Voter turnout,79.0
1404,New Zealand,Voter turnout,82.0
1405,Norway,Voter turnout,78.0
1406,Poland,Voter turnout,68.0
1407,Portugal,Voter turnout,49.0
1408,Slovak Republic,Voter turnout,66.0
1409,Spain,Voter turnout,72.0
1410,Sweden,Voter turnout,87.0
1411,Switzerland,Voter turnout,45.0
1412,Türkiye,Voter turnout,86.0
1413,United Kingdom,Voter turnout,68.0
1414,United States,Voter turnout,65.0
1415,Brazil,Voter turnout,80.0
1416,Chile,Voter turnout,47.0
1417,Estonia,Voter turnout,64.0
1418,Israel,Voter turnout,67.0
1419,Latvia,Voter turnout,55.0
1420,Russia,Voter turnout,68.0
1421,Slovenia,Voter turnout,53.0
1422,South Africa,Voter turnout,66.0
1423,OECD - Total,Voter turnout,69.0
1424,Australia,Life expectancy,83.0
1425,Austria,Life expectancy,82.0
1426,Belgium,Life expectancy,82.1
1427,Canada,Life expectancy,82.1
1428,Czech Republic,Life expectancy,79.3
1429,Denmark,Life expectancy,81.5
1430,Finland,Life expectancy,82.1
1431,France,Life expectancy,82.9
1432,Germany,Life expectancy,81.4
1433,Greece,Life expectancy,81.7
1434,Hungary,Life expectancy,76.4
1435,Iceland,Life expectancy,83.2
1436,Ireland,Life expectancy,82.8
1437,Italy,Life expectancy,83.6
1438,Japan,Life expectancy,84.4
1439,Korea,Life expectancy,83.3
1440,Luxembourg,Life expectancy,82.7
1441,Mexico,Life expectancy,75.1
1442,Netherlands,Life expectancy,82.2
1443,New Zealand,Life expectancy,82.1
1444,Norway,Life expectancy,83.0
1445,Poland,Life expectancy,78.0
1446,Portugal,Life expectancy,81.8
1447,Slovak Republic,Life expectancy,77.8
1448,Spain,Life expectancy,83.9
1449,Sweden,Life expectancy,83.2
1450,Switzerland,Life expectancy,84.0
1451,Türkiye,Life expectancy,78.6
1452,United Kingdom,Life expectancy,81.3
1453,United States,Life expectancy,78.9
1454,Brazil,Life expectancy,75.9
1455,Chile,Life expectancy,80.6
1456,Estonia,Life expectancy,78.8
1457,Israel,Life expectancy,82.9
1458,Latvia,Life expectancy,75.5
1459,Russia,Life expectancy,73.2
1460,Slovenia,Life expectancy,81.6
1461,South Africa,Life expectancy,64.2
1462,OECD - Total,Life expectancy,81.0
1541,Australia,Self-reported health,85.0
1542,Austria,Self-reported health,71.0
1543,Belgium,Self-reported health,74.0
1544,Canada,Self-reported health,89.0
1545,Czech Republic,Self-reported health,62.0
1546,Denmark,Self-reported health,70.0
1547,Finland,Self-reported health,68.0
1548,France,Self-reported health,67.0
1549,Germany,Self-reported health,66.0
1550,Greece,Self-reported health,79.0
1551,Hungary,Self-reported health,58.0
1552,Iceland,Self-reported health,77.0
1553,Ireland,Self-reported health,84.0
1554,Italy,Self-reported health,73.0
